wash_ts,enfriador,tipo,comentario,usuario
2023-02-21 00:00:00,Secado,Limpieza Química,Histórico CAP-3,
2023-02-22 00:00:00,Absorcion Intermedia,Limpieza Química,Histórico CAP-3,
2023-02-22 00:00:00,Absorcion Final,Limpieza Química,Histórico CAP-3,
2023-09-07 00:00:00,Secado,Limpieza Química,Histórico CAP-3,
2023-09-08 00:00:00,Absorcion Intermedia,Limpieza Química,Histórico CAP-3,
2023-09-09 00:00:00,Absorcion Final,Limpieza Química,Histórico CAP-3,
2023-11-28 00:00:00,Secado,Limpieza Química,Histórico CAP-3,
2023-11-28 00:00:00,Absorcion Final,Limpieza Química,Histórico CAP-3,
2024-01-03 00:00:00,Secado,Limpieza Química,Histórico CAP-3,
2024-01-02 00:00:00,Absorcion Intermedia,Limpieza Química,Histórico CAP-3,
2024-01-02 00:00:00,Absorcion Final,Limpieza Química,Histórico CAP-3,
2024-02-06 00:00:00,Secado,Limpieza Química,Histórico CAP-3,
2024-08-16 00:00:00,Secado,Limpieza Química,Histórico CAP-3,
2024-08-16 00:00:00,Absorcion Intermedia,Limpieza Química,Histórico CAP-3,
2024-09-11 00:00:00,Absorcion Final,Limpieza Química,Histórico CAP-3,
2024-09-24 00:00:00,Secado,Limpieza Química,Histórico CAP-3,
2024-10-02 00:00:00,Absorcion Intermedia,Limpieza Química,Histórico CAP-3,
2024-12-12 00:00:00,Secado,Limpieza Química,Histórico CAP-3,
2024-12-13 00:00:00,Absorcion Intermedia,Limpieza Química,Histórico CAP-3,
2024-12-14 00:00:00,Absorcion Final,Limpieza Química,Histórico CAP-3,
2025-05-06 00:00:00,Absorcion Intermedia,Limpieza Química,Histórico CAP-3,
2025-05-06 00:00:00,Absorcion Final,Limpieza Química,Histórico CAP-3,
2025-06-03 00:00:00,Secado,Limpieza Química,Histórico CAP-3,
2025-08-19 00:00:00,Secado,Limpieza Química,Histórico CAP-3,
2025-08-19 00:00:00,Absorcion Final,Limpieza Química,Histórico CAP-3,
2025-09-29 00:00:00,Absorcion Intermedia,Limpieza Química,Histórico CAP-3,
2025-11-19 00:00:00,Secado,Limpieza Química,Histórico CAP-3,
2025-11-04 00:00:00,Absorcion Intermedia,Limpieza Química,Histórico CAP-3,
2025-11-20 00:00:00,Absorcion Final,Limpieza Química,Histórico CAP-3,
2025-12-01 00:00:00,Absorcion Intermedia,Limpieza Química,Histórico CAP-3,
